来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
正式食谱,（咖喱定制）创伤恢复+红胡子,猪里脊,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,鸡蛋,蛋类及制品,FOOD,(无档案),,"e7f1e345-6aee-4274-9c81-b2463dae82df, 81263f8d-49db-4f56-8607-fe9d1c6e61ce, dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,三文鱼,水产类,FOOD,(无档案),,"a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, a8ba4629-0933-4427-a537-5febbee5ed48, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,牛肝,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,糙米,谷类及制品,FOOD,(无档案),,"39b36568-24f1-4b20-b8ef-61ce023d568d, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,（咖喱定制）创伤恢复+红胡子,燕麦,谷类及制品,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,红薯,薯类及制品,FOOD,(无档案),,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,（咖喱定制）创伤恢复+红胡子,胡萝卜,蔬菜类及制品,FOOD,(无档案),,"39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,（咖喱定制）创伤恢复+红胡子,西兰花,蔬菜类及制品,FOOD,(无档案),,"5faa5c79-f01f-4f45-876c-57cceb1b9db0, a54a1be3-e846-4439-a316-95d77b4a016a, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,（咖喱定制）创伤恢复+红胡子,白蘑菇,菌藻类,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
