原料ID,原料名称,审核结论,加工状态覆盖,问题代码,问题摘要,主档案 FDC ID,主档案 USDA 词条,主档案状态,次级 USDA 档案数,待审 USDA 候选数,营养数值差异数,营养数值差异示例,下一步动作
7f3985db-ea12-49a1-8ff7-8d196e018b28,鹌鹑蛋,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,172191,"Egg, quail, whole, fresh, raw",生 / 整体 / 未加工,0,1,0,,确认是否需要补熟制次级档案
7c2ca065-0f8e-4c80-88e7-949469cacdcb,豆腐,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,172475,"Tofu, raw, firm, prepared with calcium sulfate",生 / 标准可食部 / 未加工,0,2,0,,确认是否需要补熟制次级档案
b79627c1-5242-41e4-8995-a3968a9873e7,鹅肝,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,172415,"Goose, liver, raw",生 / 标准可食部 / 未加工,0,2,0,,确认是否需要补熟制次级档案
c047e345-1958-4eaf-865a-565360b0b097,金针菇,需要人工决策,加工状态需判断,STATE_COVERAGE_NEEDS_DECISION,是否需要补加工状态档案待判断,169382,"Mushrooms, enoki, raw",生 / 标准可食部 / 未加工,0,1,0,,需要人工判断语义匹配或加工状态覆盖
122bd9c9-5fc3-408f-b807-a2cbe6b6011d,青口贝,需要人工决策,暂无 USDA 档案,NO_PRIMARY_USDA_PROFILE; NO_USDA_CANDIDATE,没有 USDA 主档案；没有待审 USDA 候选,,,,0,0,0,,查找 USDA 候选或决定转 CFCT/手工来源
a096a894-c964-474e-99d0-65bfcc20e8ff,沙丁鱼,需要人工决策,暂无 USDA 档案,NO_PRIMARY_USDA_PROFILE; NO_USDA_CANDIDATE,没有 USDA 主档案；没有待审 USDA 候选,,,,0,0,0,,查找 USDA 候选或决定转 CFCT/手工来源
d791410c-f603-436a-aea5-ea47dba3c2e2,舞茸,需要人工决策,加工状态需判断,STATE_COVERAGE_NEEDS_DECISION,是否需要补加工状态档案待判断,169403,"Mushrooms, maitake, raw",生 / 标准可食部 / 未加工,0,1,0,,需要人工判断语义匹配或加工状态覆盖
ed8de0c2-0720-4e86-b5ba-b4b3be75a187,鸭蛋,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,172189,"Egg, duck, whole, fresh, raw",生 / 整体 / 未加工,0,1,0,,确认是否需要补熟制次级档案
1bf47dc9-30f6-456b-8cb6-962636f74e14,鸭肝,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,174467,"Duck, domesticated, liver, raw",生 / 标准可食部 / 未加工,0,1,0,,确认是否需要补熟制次级档案
d04a0466-bcff-4b76-bdf3-e0d95718f779,鸭心,需要人工决策,暂无 USDA 档案,NO_PRIMARY_USDA_PROFILE; NO_USDA_CANDIDATE,没有 USDA 主档案；没有待审 USDA 候选,,,,0,0,0,,查找 USDA 候选或决定转 CFCT/手工来源
31ecac81-6ae6-4df3-af9b-1609fe58b6de,鸭胸,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,172410,"Duck, domesticated, meat only, raw",生 / 标准可食部 / 未加工,0,1,0,,确认是否需要补熟制次级档案
ffef50ee-c786-4985-9ce1-a447d30415ec,鸭胗,需要人工决策,暂无 USDA 档案,NO_PRIMARY_USDA_PROFILE; NO_USDA_CANDIDATE,没有 USDA 主档案；没有待审 USDA 候选,,,,0,0,0,,查找 USDA 候选或决定转 CFCT/手工来源
29c41b2f-f5f4-4930-9edc-4c70e8d8ebd2,羊肚菌（鲜）,需要人工决策,只有生档案，建议补熟档案,MISSING_COOKED_PROFILE,缺少熟制档案,168423,"Mushrooms, morel, raw",生 / 标准可食部 / 未加工,0,0,0,,确认是否需要补熟制次级档案
95c363e3-8ec9-4507-97f3-7536eec36bd3,薏仁米,需要人工决策,暂无 USDA 档案,NO_PRIMARY_USDA_PROFILE; NO_USDA_CANDIDATE,没有 USDA 主档案；没有待审 USDA 候选,,,,0,0,0,,查找 USDA 候选或决定转 CFCT/手工来源
150f1238-375a-40a4-a41a-46836a400759,巴旦木,通过,不适用生熟两档,,,170567,"Nuts, almonds",干 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
11b57ce1-1e24-432a-87a4-230bad0a453c,巴西坚果,通过,不适用生熟两档,,,170569,"Nuts, brazilnuts, dried, unblanched",干 / 标准可食部 / 未加工,0,1,0,,可保留；无需逐条人工审核
65116a1d-b26d-4c4d-96b7-d01d0b72321f,白萝卜,通过,生熟两档齐全,,,168451,"Radishes, oriental, raw",生 / 标准可食部 / 未加工,1,1,0,,可保留；无需逐条人工审核
2fe3160a-d025-4432-a43e-56f6198fe425,白蘑菇,通过,生熟两档齐全,,,169251,"Mushrooms, white, raw",生 / 标准可食部 / 未加工,1,0,0,,可保留；无需逐条人工审核
0d74f165-d928-4b11-9ed0-d8ed36580e52,白芝麻,通过,不适用生熟两档,,,169412,"Seeds, sesame seed kernels, dried (decorticated)",干 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
8e16edd0-9463-4dfc-b28f-36cd6feca1e6,比目鱼,通过,生熟两档齐全,,,174196,"Fish, flatfish (flounder and sole species), raw",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
232f7522-78e2-4a4a-83e5-55feebddb618,菠菜,通过,生熟两档齐全,,,168462,"Spinach, raw",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
74ab3c12-e25f-464e-a12b-b24e3e9ef2b8,菠萝,通过,不适用生熟两档,,,168193,"Pineapple, raw, traditional varieties",生 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
7dff8839-3134-48e4-b46f-f34792b7e13e,糙米,通过,生熟两档齐全,,,169703,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
403bc179-a556-450d-8138-482d5bfae1c6,大豆,通过,不适用生熟两档,,,174270,"Soybeans, mature seeds, raw",生 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
51077e61-6382-44cc-a949-1cab2b21f6ae,大米,通过,生熟两档齐全,,,169756,"Rice, white, long-grain, regular, raw, unenriched",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
3d23cb09-98a5-405a-831c-e6c555a0b6d5,丁香粉,通过,不适用生熟两档,,,171321,"Spices, cloves, ground",粉 / 标准可食部 / 粉碎,0,1,0,,可保留；无需逐条人工审核
dd4d71d0-e080-4565-9667-79ba62457801,冬瓜,通过,生熟两档齐全,,,170069,"Waxgourd, (chinese preserving melon), raw",生 / 标准可食部 / 未加工,1,1,0,,可保留；无需逐条人工审核
b3d7b819-0740-4f1e-9dd5-2686af3c0f42,鹅胸肉,通过,生熟两档齐全,,,172413,"Goose, domesticated, meat only, raw",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
11109405-71c3-4aec-81f9-7fa57941c77f,橄榄油,通过,不适用生熟两档,,,171413,"Oil, olive, salad or cooking",油脂 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
b9ff898d-2ecc-41d1-8b46-df6986548386,核桃,通过,不适用生熟两档,,,170187,"Nuts, walnuts, english",干 / 标准可食部 / 未加工,0,2,0,,可保留；无需逐条人工审核
d72da578-0faa-4ed3-9e64-1665365904d0,黑木耳,通过,不适用生熟两档,,,169237,"Jew's ear, (pepeao), raw",生 / 标准可食部 / 未加工,1,0,0,,可保留；无需逐条人工审核
f00e71ae-d647-409c-b012-d6cd992bf868,红薯,通过,生熟两档齐全,,,168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
55c55405-9c9a-41ec-8bd6-6a67eed92528,红甜椒,通过,生熟两档齐全,,,170108,"Peppers, sweet, red, raw",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
91a7901b-4875-42a6-a4c2-e1180084a253,红小豆,通过,不适用生熟两档,,,173727,"Beans, adzuki, mature seeds, raw",生 / 标准可食部 / 未加工,1,2,0,,可保留；无需逐条人工审核
